asset_price,exercise_time,delta
60.0000,0.4000,0.0056
60.0000,0.4080,0.0061
60.0000,0.4160,0.0066
60.0000,0.4240,0.0071
60.0000,0.4320,0.0076
60.0000,0.4400,0.0082
60.0000,0.4480,0.0088
60.0000,0.4560,0.0094
60.0000,0.4640,0.0100
60.0000,0.4720,0.0107
60.0000,0.4800,0.0113
60.0000,0.4880,0.0120
60.0000,0.4960,0.0127
60.0000,0.5040,0.0134
60.0000,0.5120,0.0142
60.0000,0.5200,0.0149
60.0000,0.5280,0.0157
60.0000,0.5360,0.0165
60.0000,0.5440,0.0173
60.0000,0.5520,0.0181
60.0000,0.5600,0.0189
60.0000,0.5680,0.0198
60.0000,0.5760,0.0206
60.0000,0.5840,0.0215
60.0000,0.6000,0.0233
62.0000,0.2000,0.0002
62.0000,0.2080,0.0003
62.0000,0.2160,0.0004
62.0000,0.2240,0.0005
62.0000,0.2320,0.0006
62.0000,0.2400,0.0007
62.0000,0.2480,0.0009
62.0000,0.2560,0.0010
62.0000,0.2640,0.0012
62.0000,0.2720,0.0015
62.0000,0.2800,0.0017
62.0000,0.2880,0.0020
62.0000,0.2960,0.0023
62.0000,0.3040,0.0026
62.0000,0.3120,0.0029
62.0000,0.3200,0.0033
62.0000,0.3280,0.0037
62.0000,0.3360,0.0041
62.0000,0.3440,0.0046
62.0000,0.3520,0.0050
62.0000,0.3600,0.0056
62.0000,0.3680,0.0061
62.0000,0.3760,0.0066
62.0000,0.3840,0.0072
62.0000,0.3920,0.0078
62.0000,0.4000,0.0084
62.0000,0.4080,0.0091
62.0000,0.4160,0.0098
62.0000,0.4240,0.0105
62.0000,0.4320,0.0112
62.0000,0.4400,0.0119
62.0000,0.4480,0.0127
62.0000,0.4560,0.0135
62.0000,0.4640,0.0143
62.0000,0.4720,0.0152
62.0000,0.4800,0.0160
62.0000,0.4880,0.0169
62.0000,0.4960,0.0178
62.0000,0.5040,0.0187
62.0000,0.5120,0.0196
62.0000,0.5200,0.0206
62.0000,0.5280,0.0215
62.0000,0.5360,0.0225
62.0000,0.5440,0.0235
62.0000,0.5520,0.0245
62.0000,0.5600,0.0255
62.0000,0.5680,0.0266
62.0000,0.5760,0.0276
62.0000,0.5840,0.0287
62.0000,0.6000,0.0308
64.0000,0.2000,0.0005
64.0000,0.2080,0.0006
64.0000,0.2160,0.0007
64.0000,0.2240,0.0009
64.0000,0.2320,0.0011
64.0000,0.2400,0.0013
64.0000,0.2480,0.0016
64.0000,0.2560,0.0019
64.0000,0.2640,0.0022
64.0000,0.2720,0.0025
64.0000,0.2800,0.0029
64.0000,0.2880,0.0033
64.0000,0.2960,0.0038
64.0000,0.3040,0.0043
64.0000,0.3120,0.0048
64.0000,0.3200,0.0053
64.0000,0.3280,0.0059
64.0000,0.3360,0.0065
64.0000,0.3440,0.0071
64.0000,0.3520,0.0078
64.0000,0.3600,0.0085
64.0000,0.3680,0.0092
64.0000,0.3760,0.0099
64.0000,0.3840,0.0107
64.0000,0.3920,0.0115
64.0000,0.4000,0.0124
64.0000,0.4080,0.0132
64.0000,0.4160,0.0141
64.0000,0.4240,0.0150
64.0000,0.4320,0.0160
64.0000,0.4400,0.0169
64.0000,0.4480,0.0179
64.0000,0.4560,0.0189
64.0000,0.4640,0.0199
64.0000,0.4720,0.0210
64.0000,0.4800,0.0220
64.0000,0.4880,0.0231
64.0000,0.4960,0.0242
64.0000,0.5040,0.0253
64.0000,0.5120,0.0265
64.0000,0.5200,0.0276
64.0000,0.5280,0.0288
64.0000,0.5360,0.0300
64.0000,0.5440,0.0312
64.0000,0.5520,0.0324
64.0000,0.5600,0.0336
64.0000,0.5680,0.0349
64.0000,0.5760,0.0361
64.0000,0.5840,0.0374
64.0000,0.6000,0.0399
66.0000,0.2000,0.0009
66.0000,0.2080,0.0011
66.0000,0.2160,0.0014
66.0000,0.2240,0.0017
66.0000,0.2320,0.0020
66.0000,0.2400,0.0024
66.0000,0.2480,0.0028
66.0000,0.2560,0.0032
66.0000,0.2640,0.0037
66.0000,0.2720,0.0042
66.0000,0.2800,0.0048
66.0000,0.2880,0.0054
66.0000,0.2960,0.0060
66.0000,0.3040,0.0067
66.0000,0.3120,0.0074
66.0000,0.3200,0.0082
66.0000,0.3280,0.0090
66.0000,0.3360,0.0098
66.0000,0.3440,0.0107
66.0000,0.3520,0.0116
66.0000,0.3600,0.0125
66.0000,0.3680,0.0134
66.0000,0.3760,0.0144
66.0000,0.3840,0.0155
66.0000,0.3920,0.0165
66.0000,0.4000,0.0176
66.0000,0.4080,0.0187
66.0000,0.4160,0.0198
66.0000,0.4240,0.0210
66.0000,0.4320,0.0221
66.0000,0.4400,0.0233
66.0000,0.4480,0.0245
66.0000,0.4560,0.0258
66.0000,0.4640,0.0270
66.0000,0.4720,0.0283
66.0000,0.4800,0.0296
66.0000,0.4880,0.0309
66.0000,0.4960,0.0323
66.0000,0.5040,0.0336
66.0000,0.5120,0.0350
66.0000,0.5200,0.0363
66.0000,0.5280,0.0377
66.0000,0.5360,0.0391
66.0000,0.5440,0.0405
66.0000,0.5520,0.0420
66.0000,0.5600,0.0434
66.0000,0.5680,0.0448
66.0000,0.5760,0.0463
66.0000,0.5840,0.0478
66.0000,0.6000,0.0507
68.0000,0.2000,0.0017
68.0000,0.2080,0.0021
68.0000,0.2160,0.0025
68.0000,0.2240,0.0030
68.0000,0.2320,0.0035
68.0000,0.2400,0.0040
68.0000,0.2480,0.0046
68.0000,0.2560,0.0053
68.0000,0.2640,0.0060
68.0000,0.2720,0.0068
68.0000,0.2800,0.0076
68.0000,0.2880,0.0084
68.0000,0.2960,0.0093
68.0000,0.3040,0.0102
68.0000,0.3120,0.0112
68.0000,0.3200,0.0122
68.0000,0.3280,0.0133
68.0000,0.3360,0.0144
68.0000,0.3440,0.0155
68.0000,0.3520,0.0167
68.0000,0.3600,0.0179
